preflop,flop,turn,river,total
"(0.0225, 0.0225)","(0, 0.0225)","(0, 0.0225)","(0, 0.0225)",0.0225
"(0.105, 0.105)","(0, 0.105)","(0, 0.105)","(0, 0.105)",0.105
"(0.0225, 0.0225)","(0.0275, 0.05)","(0, 0.05)","(0, 0.05)",0.05
"(1.0, 1.0)","(0, 1.0)","(0, 1.0)","(0, 1.0)",1.0
"(0.14, 0.14)","(0.115, 0.255)","(0.195, 0.45)","(0.55, 1.0)",1.0
"(0.021, 0.021)","(0.047, 0.068)","(0, 0.068)","(0, 0.068)",0.068
"(0.021, 0.021)","(0.0, 0.021)","(0, 0.021)","(0, 0.021)",0.021
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.03, 0.0525)","(0, 0.0525)",0.0525
"(0.0225, 0.0225)","(0.015, 0.0375)","(0, 0.0375)","(0, 0.0375)",0.0375
"(0.0225, 0.0225)","(0.025, 0.0475)","(0, 0.0475)","(0, 0.0475)",0.0475
"(0.0222, 0.0222)","(0.015, 0.0372)","(0, 0.0372)","(0, 0.0372)",0.0372
"(0.0222, 0.0222)","(0.06, 0.0822)","(0, 0.0822)","(0, 0.0822)",0.0822
"(0.035, 0.035)","(0.0, 0.035)","(0.0, 0.035)","(0, 0.035)",0.035
"(0.035, 0.035)","(0.0, 0.035)","(0.0525, 0.0875)","(0, 0.0875)",0.0875
"(0.02, 0.02)","(0.0, 0.02)","(0.0, 0.02)","(0, 0.02)",0.02
"(0.02, 0.02)","(0.0, 0.02)","(0.0412, 0.061200000000000004)","(0, 0.061200000000000004)",0.061200000000000004
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0375, 0.06)","(0, 0.06)",0.06
"(0.025, 0.025)","(0.018, 0.043)","(0, 0.043)","(0, 0.043)",0.043
"(0.025, 0.025)","(0.0, 0.025)","(0, 0.025)","(0, 0.025)",0.025
"(0.07, 0.07)","(0.0625, 0.1325)","(0.0, 0.1325)","(0.07, 0.2025)",0.2025
"(0.07, 0.07)","(0.0625, 0.1325)","(0.0, 0.1325)","(0.49, 0.6225)",0.6225
"(0.02, 0.02)","(0.03, 0.05)","(0, 0.05)","(0, 0.05)",0.05
"(0.1, 0.1)","(0, 0.1)","(0, 0.1)","(0, 0.1)",0.1
"(0.115, 0.115)","(0, 0.115)","(0, 0.115)","(0, 0.115)",0.115
"(0.025, 0.025)","(0.025, 0.05)","(0, 0.05)","(0, 0.05)",0.05
"(0.21, 0.21)","(0.0, 0.21)","(0.0, 0.21)","(0, 0.21)",0.21
"(0.21, 0.21)","(0.0, 0.21)","(0.1555, 0.3655)","(0, 0.3655)",0.3655
"(0.03, 0.03)","(0.0, 0.03)","(0, 0.03)","(0, 0.03)",0.03
"(0.03, 0.03)","(0.03, 0.06)","(0, 0.06)","(0, 0.06)",0.06
"(0.195, 0.195)","(0, 0.195)","(0, 0.195)","(0, 0.195)",0.195
"(0.0862, 0.0862)","(0, 0.0862)","(0, 0.0862)","(0, 0.0862)",0.0862
"(0.02, 0.02)","(0.0, 0.02)","(0.01, 0.03)","(0.0, 0.03)",0.03
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0, 0.042499999999999996)","(0, 0.042499999999999996)",0.042499999999999996
"(0.21, 0.21)","(0.185, 0.395)","(0, 0.395)","(0, 0.395)",0.395
"(0.03, 0.03)","(0.03, 0.06)","(0.06, 0.12)","(0, 0.12)",0.12
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0222, 0.044700000000000004)","(0.0322, 0.0769)",0.0769
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0, 0.0475)","(0.075, 0.1225)",0.1225
"(0.2375, 0.2375)","(0.1324, 0.3699)","(0, 0.3699)","(0, 0.3699)",0.3699
"(0.2375, 0.2375)","(0.0, 0.2375)","(0, 0.2375)","(0, 0.2375)",0.2375
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.0825, 0.13)","(0, 0.13)",0.13
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.25, 0.2975)","(0, 0.2975)",0.2975
"(0.025, 0.025)","(0.05, 0.07500000000000001)","(0, 0.07500000000000001)","(0, 0.07500000000000001)",0.07500000000000001
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0.18, 0.22249999999999998)","(0, 0.22249999999999998)",0.22249999999999998
"(0.035, 0.035)","(0.025, 0.060000000000000005)","(0.0, 0.060000000000000005)","(0.0, 0.060000000000000005)",0.060000000000000005
"(0.07, 0.07)","(0.0, 0.07)","(0, 0.07)","(0, 0.07)",0.07
"(0.07, 0.07)","(0.0625, 0.1325)","(0, 0.1325)","(0, 0.1325)",0.1325
"(0.025, 0.025)","(0.035, 0.060000000000000005)","(0, 0.060000000000000005)","(0, 0.060000000000000005)",0.060000000000000005
"(0.025, 0.025)","(0.1175, 0.1425)","(0, 0.1425)","(0, 0.1425)",0.1425
"(0.025, 0.025)","(0.025, 0.05)","(0.08, 0.13)","(0, 0.13)",0.13
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.075, 0.0975)","(0, 0.0975)",0.0975
"(0.09, 0.09)","(0, 0.09)","(0, 0.09)","(0, 0.09)",0.09
"(0.0225, 0.0225)","(0.03, 0.0525)","(0.0, 0.0525)","(0, 0.0525)",0.0525
"(0.0225, 0.0225)","(0.03, 0.0525)","(0.04, 0.0925)","(0, 0.0925)",0.0925
"(0.02, 0.02)","(0.0225, 0.042499999999999996)","(0.0, 0.042499999999999996)","(0.045, 0.0875)",0.0875
"(0.02, 0.02)","(0.015, 0.035)","(0.0575, 0.0925)","(0.31, 0.40249999999999997)",0.40249999999999997
"(0.02, 0.02)","(0.015, 0.035)","(0.0575, 0.0925)","(0.0, 0.0925)",0.0925
"(0.072, 0.072)","(0, 0.072)","(0, 0.072)","(0, 0.072)",0.072
"(0.0, 0.0)","(0.01, 0.01)","(0, 0.01)","(0, 0.01)",0.01
"(0.0, 0.0)","(0.0, 0.0)","(0, 0.0)","(0, 0.0)",0.0
"(0.0225, 0.0225)","(0.0175, 0.04)","(0, 0.04)","(0, 0.04)",0.04
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.1, 0.14750000000000002)","(0.3, 0.4475)",0.4475
"(0.0225, 0.0225)","(0.025, 0.0475)","(0.1, 0.14750000000000002)","(0.0, 0.14750000000000002)",0.14750000000000002
"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.015, 0.015)",0.015
"(0.0225, 0.0225)","(0.045, 0.0675)","(0.0999, 0.1674)","(0.0, 0.1674)",0.1674
"(0.07, 0.07)","(0.05, 0.12000000000000001)","(0, 0.12000000000000001)","(0, 0.12000000000000001)",0.12000000000000001
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.19, 0.25)","(0, 0.25)",0.25
"(0.0225, 0.0225)","(0.0375, 0.06)","(0.0, 0.06)","(0, 0.06)",0.06
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0375, 0.06)","(0.095, 0.155)",0.155
"(0.09, 0.09)","(0.0, 0.09)","(0.0, 0.09)","(0.0825, 0.1725)",0.1725
"(0.0225, 0.0225)","(0.0, 0.0225)","(0.0, 0.0225)","(0.03, 0.0525)",0.0525
