blinds,stacks,pre_flop_bets,flop_bets,turn_bets,river_bets
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrPink': 1050}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Eddie': 225}","{'Eddie': 0, 'MrBlue': 275}",{},{}
"[50, 100]","[10000, 10000]","{'MrPink': 10000, 'MrOrange': 10000}",{},{},{}
"[50, 100]","[10000, 10000]","{'Bill': 1400, 'MrBlue': 1400}","{'Bill': 1150, 'MrBlue': 1150}","{'Bill': 1950, 'MrBlue': 1950}","{'Bill': 5500, 'MrBlue': 5500}"
"[50, 100]","[10000, 10000]","{'MrPink': 210, 'Pluribus': 210}","{'Pluribus': 0, 'MrPink': 470}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrPink': 225}","{'MrPink': 0, 'MrBlue': 0}","{'MrPink': 0, 'MrBlue': 300}",{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'Eddie': 225}","{'Eddie': 0, 'Bill': 150}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 225, 'MrOrange': 225}","{'MrOrange': 0, 'Bill': 250}",{},{}
"[50, 100]","[10000, 10000]","{'Eddie': 222, 'Bill': 222}","{'Bill': 600, 'Eddie': 150}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 350, 'MrBlue': 350}","{'Bill': 0, 'MrBlue': 0}","{'Bill': 0, 'MrBlue': 525}",{}
"[50, 100]","[10000, 10000]","{'Eddie': 200, 'MrBlue': 200}","{'Eddie': 0, 'MrBlue': 0}","{'Eddie': 0, 'MrBlue': 412}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Eddie': 225}","{'Eddie': 0, 'MrBlue': 0}","{'Eddie': 0, 'MrBlue': 375}",{}
"[50, 100]","[10000, 10000]","{'MrPink': 250, 'MrOrange': 250}","{'MrOrange': 0, 'MrPink': 180}",{},{}
"[50, 100]","[10000, 10000]","{'MrPink': 700, 'Eddie': 700}","{'MrPink': 625, 'Eddie': 625}","{'MrPink': 0, 'Eddie': 0}","{'MrPink': 700, 'Eddie': 4900}"
"[50, 100]","[10000, 10000]","{'Bill': 225, 'MrPink': 225}","{'MrPink': 0, 'Bill': 250}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Eddie': 225}","{'Eddie': 0, 'MrBlue': 0}","{'Eddie': 0, 'MrBlue': 375}",{}
"[50, 100]","[10000, 10000]","{'Eddie': 200, 'MrBlue': 200}","{'Eddie': 300, 'MrBlue': 0}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 200, 'MrPink': 1000}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrPink': 250, 'Eddie': 1150}",{},{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 250, 'Bill': 250}","{'MrOrange': 0, 'Bill': 250}",{},{}
"[50, 100]","[10000, 10000]","{'Eddie': 2100, 'MrOrange': 2100}","{'Eddie': 0, 'MrOrange': 0}","{'Eddie': 0, 'MrOrange': 1555}",{}
"[50, 100]","[10000, 10000]","{'MrOrange': 300, 'MrWhite': 300}","{'MrOrange': 0, 'MrWhite': 300}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 1950, 'MrWhite': 862}",{},{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrOrange': 200}","{'Pluribus': 0, 'MrOrange': 0}","{'Pluribus': 100, 'MrOrange': 100}","{'Pluribus': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'Budd': 200}","{'Budd': 0, 'Pluribus': 225}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 2100, 'MrBlue': 2100}","{'MrOrange': 0, 'MrBlue': 1850}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 300, 'Pluribus': 300}","{'Bill': 300, 'Pluribus': 300}","{'Bill': 0, 'Pluribus': 600}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'MrOrange': 225}","{'MrOrange': 0, 'MrBlue': 0}","{'MrOrange': 222, 'MrBlue': 222}","{'MrOrange': 322, 'MrBlue': 322}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrWhite': 200}","{'MrWhite': 225, 'Pluribus': 225}","{'MrWhite': 0, 'Pluribus': 0}","{'MrWhite': 0, 'Pluribus': 0}"
"[50, 100]","[10000, 10000]","{'Bill': 225, 'MrBlue': 225}","{'MrBlue': 250, 'Bill': 250}","{'MrBlue': 0, 'Bill': 0}","{'MrBlue': 750, 'Bill': 0}"
"[50, 100]","[10000, 10000]","{'MrOrange': 2375, 'MrBlue': 2375}","{'MrBlue': 0, 'MrOrange': 1324}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 225, 'Bill': 225}","{'Bill': 250, 'MrBlue': 250}","{'Bill': 2500, 'MrBlue': 825}",{}
"[50, 100]","[10000, 10000]","{'Bill': 250, 'Pluribus': 250}","{'Bill': 0, 'Pluribus': 500}",{},{}
"[50, 100]","[10000, 10000]","{'Pluribus': 300, 'MrOrange': 300}","{'Pluribus': 300, 'MrOrange': 300}","{'Pluribus': 0, 'MrOrange': 0}","{'Pluribus': 0, 'MrOrange': 0}"
"[50, 100]","[10000, 10000]","{'Pluribus': 200, 'MrBlue': 200}","{'MrBlue': 225, 'Pluribus': 225}","{'MrBlue': 0, 'Pluribus': 1800}",{}
"[50, 100]","[10000, 10000]","{'MrBlue': 350, 'Budd': 350}","{'MrBlue': 250, 'Budd': 250}","{'MrBlue': 0, 'Budd': 0}","{'MrBlue': 0, 'Budd': 0}"
"[50, 100]","[10000, 10000]","{'MrWhite': 225, 'Bill': 225}","{'Bill': 0, 'MrWhite': 250}",{},{}
"[50, 100]","[10000, 10000]","{'MrOrange': 700, 'MrBlue': 700}","{'MrOrange': 0, 'MrBlue': 625}",{},{}
"[50, 100]","[10000, 10000]","{'Bill': 250, 'MrOrange': 250}","{'MrOrange': 1175, 'Bill': 350}",{},{}
"[50, 100]","[10000, 10000]","{'MrBlue': 250, 'Budd': 250}","{'MrBlue': 250, 'Budd': 250}","{'MrBlue': 0, 'Budd': 800}",{}
